# MLB Redraft Points Rankings
# Rotoballer - Nicklaus Gaut 
# 3/10/2025
Rank,Player
288,Brandon Marsh
289,Alec Burleson
290,Jonah Heim
291,Andrew Abbott
292,Mitchell Parker
293,Gavin Lux
294,Ryan Weathers
295,Joey Bart
296,Michael Conforto
297,Byron Buxton
298,Alexis Diaz
299,Pete Fairbanks
300,Ha-Seong Kim
301,Tobias Myers
302,DJ Herz
303,Trevor Story
304,Joc Pederson
305,Zack Littell
306,Kyle Finnegan
307,Jo Adell
308,Thairo Estrada
309,David Bednar
310,Trevor Larnach
311,Andrew Heaney
312,Luis L. Ortiz
313,Jordan Walker
314,Aroldis Chapman
315,Drew Rasmussen
316,Jordan Romano
317,Walker Buehler
318,Endy Rodriguez
319,Kenley Jansen
320,Nolan Jones
321,Otto Lopez
322,Michael Massey
323,Kyle Harrison
324,Carlos Estevez
325,A.J. Puk
326,Jesus Sanchez
327,Ryan Feltner
328,Kumar Rocker
329,Sean Murphy
330,Garrett Mitchell
331,Orlando Arcia
332,Kutter Crawford
333,Hunter Goodman
334,Andre Pallante
335,Jackson Holliday
336,Lucas Erceg
337,LaMonte Wade Jr.
338,MJ Melendez
339,Max Scherzer
340,Evan Carter
341,Isiah Kiner-Falefa
342,Chris Martin
343,Grant Holmes
344,Edward Cabrera
345,Kirby Yates
346,Jose Quintana
347,Jonathan Aranda
348,Wilyer Abreu
349,Justin Verlander
350,Tomoyuki Sugano
351,Nick Gonzales
352,Miguel Amaya
353,Reid Detmers
354,Hayden Birdsong
355,Sean Burke
356,Michael Lorenzen
357,Jordan Hicks
358,Jonathan Cannon
359,Ben Lively
360,Luke Raley
361,Max Meyer
362,Matt Vierling
363,Matthew Boyd
364,Tyler Mahle
365,Jason Adam
366,Jake Rogers
367,Jason Foley
368,Kyle Manzardo
369,Bryan Abreu
370,Griffin Jax
371,Jacob Young
372,Mike Yastrzemski
373,Simeon Woods Richardson
374,Calvin Faucher
375,Sal Frelick
376,Marcus Stroman
377,Edwin Uceta
378,Liam Hendriks
379,Andrew Benintendi
380,Martin Perez
381,Jorge Polanco
382,Austin Hays
383,Javier Assad
384,Davis Martin
385,Mitch Garver
386,Jonny DeLuca
387,Jake Fraley
388,Nick Fortes
389,Ryan O'Hearn
390,Porter Hodge
391,Nolan Gorman
392,Kyle Freeland
393,Yoan Moncada
394,Ben Joyce
395,Ceddanne Rafaela
396,German Marquez
397,Lucas Giolito
398,Robert Garcia
399,Colin Rea
400,Kyle Isbel
401,Andrew McCutchen
402,Elias Diaz
403,Mitch Spence
404,Cade Smith
405,Jose Miranda
406,Camilo Doval
407,Casey Mize
408,Spencer Horwitz
409,David Festa
410,Kyle Higashioka
411,Carson Kelly
412,Max Kepler
413,Orion Kerkering
414,Jon Gray
415,Kyle Gibson
416,Chris Paddack
417,Kris Bubic
418,Ty France
419,Travis d'Arnaud
420,Freddy Fermin
421,Bailey Falter
422,Jake Meyers
423,Luis Campusano
424,Brooks Lee
425,Jesus Tinoco
426,Jeremiah Estrada
427,Austin Gomber
428,Trevor Williams
429,Jacob Stallings
430,Jack Leiter
431,Kevin Ginkel
432,Tyler Holton
433,Josh Smith
434,Rhett Lowder
435,Luke Weaver
436,Gary Sanchez
437,Jeff McNeil
438,Jackson Jobe
439,Cal Quantrill
440,Tommy Pham
441,Dustin May
442,Ryne Nelson
443,Jordan Montgomery
444,Justin Slaten
445,Jesse Winker
446,Steven Matz
447,Chas McCormick
448,Jonah Bride
449,Tylor Megill
450,Seth Halvorsen
451,Lance Lynn
452,Kristian Campbell
453,Landen Roupp
454,Joel Payamps
455,Tyler Kinley
456,Mike Soroka
457,Josh Rojas
458,Miguel Vargas
459,Oswaldo Cabrera
460,Spencer Torkelson
461,Cole Sands
462,Zebby Matthews
463,Frankie Montas
464,Griffin Canning
465,Will Warren
466,Blake Treinen
467,Cody Bradford
468,Jose Trevino
469,Jose Leclerc
470,Beau Brieske
471,Seranthony Dominguez
472,Jose Siri
473,Joey Estes
474,Agustin Ramirez
475,Yariel Rodriguez
476,Christian Vazquez
477,Cade Povich
478,Ernie Clement
479,Osvaldo Bido
480,Keegan Akin
481,Hayden Wesneski
482,Shane Bieber
483,Matt Strahm
484,Chad Green
485,Quinn Mathews
486,Pierce Johnson
487,Gio Urshela
488,Alex Verdugo
489,Heston Kjerstad
490,Eury Perez
491,Joey Cantillo
492,Leody Taveras
493,Bubba Chandler
494,Victor Caratini
